,Ticker,Position,Date,Company Name,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume,Daily return,1-week (5-day) moving average daily return,Rolling cumulative sum of volume,Daily P&L,Cumulative Daily P&L,Cumulative Daily Portfolio P&L
0,A,1000.0,2020-07-28,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,94.31369018554688,0.0,96.24350552814863,94.21471910095507,95.97630323087826,0.0,1373700.0,-0.35154459937858484,0.8112307143324328,96906527395.0,-351.54459937858485,-11134.88361834611,-35554.941588752634
1,AAL,2000.0,2020-07-28,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.770000457763672,0.0,12.0,11.359999656677246,11.369999885559082,0.0,62356600.0,-0.8752036906348579,0.5502952714487173,96968883995.0,-1750.4073812697159,-26170.465351676245,-37305.34897002235
0,A,1000.0,2020-07-29,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,96.09506225585938,0.0,96.6492716714,94.53141265024134,94.81841220193837,0.0,1125300.0,-0.33504216378649965,0.8115548859899947,99335512712.0,-335.04216378649966,-11469.92578213261,-37640.39113380885
1,AAL,2000.0,2020-07-29,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.399999618530273,0.0,11.920000076293945,11.300000190734863,11.800000190734863,0.0,52214600.0,-0.8813674776735455,0.5476471538367558,99387727312.0,-1762.734955347091,-27933.200307023337,-39403.12608915594
0,A,1000.0,2020-07-30,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,94.93716430664062,0.0,95.36271428573487,93.98710081735813,95.1252003010226,0.0,1663300.0,-0.350221022742048,0.7803442214910079,101854607822.0,-350.22102274204804,-11820.146804874657,-39753.347111897994
1,AAL,2000.0,2020-07-30,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.180000305175781,0.0,11.390000343322754,11.119999885559082,11.220000267028809,0.0,40525100.0,-0.8822378950664133,0.5112058930587247,101895132922.0,-1764.4757901328264,-29697.676097156163,-41517.82290203082
0,A,1000.0,2020-07-31,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,95.33302307128906,0.0,95.41219691392074,93.74958397082139,94.94706002650109,0.0,1551800.0,-0.3541630120635241,0.8182781377625179,104417112380.0,-354.1630120635241,-12174.309816938181,-41871.985914094344
1,AAL,2000.0,2020-07-31,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.119999885559082,0.0,11.25,10.800000190734863,11.15999984741211,0.0,51691400.0,-0.8833562649403905,0.5415051142853972,104468803780.0,-1766.7125298807812,-31464.388627036944,-43638.698443975125
0,A,1000.0,2020-08-03,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,98.064453125,0.0,98.33166295746388,95.93671083543643,95.93671083543643,0.0,1994300.0,-0.346915149958214,0.8586747240600863,107815260624.0,-346.915149958214,-12521.224966896396,-43985.61359393334
1,AAL,2000.0,2020-08-03,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.079999923706055,0.0,11.239999771118164,10.710000038146973,11.069999694824219,0.0,48264000.0,-0.8870130860814296,0.586738621180956,107863524624.0,-1774.0261721628592,-33238.4147991998,-45759.639766096196
0,A,1000.0,2020-08-04,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,96.5206069946289,0.0,97.96549574279545,95.88723131188286,97.68839482539828,0.0,779200.0,-0.3689702729691417,0.8726147957770666,110470463115.0,-368.9702729691417,-12890.195239865538,-46128.61003906534
1,AAL,2000.0,2020-08-04,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.470000267028809,0.0,11.880000114440918,11.15999984741211,11.210000038146973,0.0,54824400.0,-0.8811652700478035,0.5995461426574697,110525287515.0,-1762.3305400956071,-35000.74533929541,-47890.940579160946
